"sl","sl","cmusage","lmusage","avgrch","growth"
"1",1,5.1,3.5,99.4,11
"2",2,4.9,3,98.6,11
"3",3,5.975,3.2,96.1411764705882,11
"4",4,4.6,3.1,98.5,1
"5",5,5,3.10588235294118,98.4,11
"6",6,5.4,3.9,98.3,12
"7",7,7,3.2,95.3,6
"8",8,6.4,3.2,95.5,7
"9",9,6.9,3.1,95.1,7
"10",10,5.975,2.3,96,5
"11",11,6.5,2.8,95.4,7
"12",12,5.7,3.10588235294118,95.5,5
"13",13,6.3,3.3,96.1411764705882,8
"14",14,6.7,3.3,94.3,3
"15",15,6.7,3,94.8,2
"16",16,6.3,2.5,95,10
"17",17,5.975,3,94.8,4
"18",18,6.2,3.4,94.6,2
"19",19,5.9,3,94.9,9
